ID,Nombre de la tarea,Descripcion ejecutiva,Area / Lista ClickUp,Clasificacion,Importancia,Impacto,Urgencia,Esfuerzo,Estado sugerido,Responsable principal,Participantes,Tipo de responsable,Tiempo estimado,Dependencias,Tareas bloqueadas,Documento fuente,Pagina o seccion de referencia,Hallazgo asociado,Coincidencias entre documentos,Criterio de aceptacion,Evidencia de finalizacion,Riesgo de no ejecucion,Etiquetas,Hito o fase,Fecha sugerida,Observaciones
TASK-073,Corregir la etiqueta meta description duplicada e invalida en los posts del blog,"Eliminar la segunda etiqueta meta name=description que aparece duplicada en los 7 posts del blog auditados en vivo (HTML invalido); en 3 de los 7 casos (9505, 9019, 9042) esa segunda etiqueta contiene el texto de OTRO post (8302) pegado por error, lo que sugiere que los posts se crearon duplicando una plantilla sin limpiar el campo.",SEO de contenidos,Correccion tecnica,Media,Medio,Media,Medio,Por hacer,Especialista SEO,Desarrollador web,Prestador,2-3 horas (revisar los 7 y buscar si el patron se repite en el resto del blog),,,DOC-20 (escaneo en vivo),Bug de higiene de datos confirmado en 7/7 posts revisados,"Segunda meta description detectada en el head de los 7 posts auditados, con contenido cruzado de otro post en 3 de ellos (posts 9505, 9019 y 9042 muestran el texto del post 8302)",DOC-20 (escaneo en vivo),"Cada post tiene una unica etiqueta meta description, con el texto correspondiente a su propio contenido","Inspeccion del HTML mostrando una sola meta description por post, correcta",Riesgo de que Google muestre una descripcion de otro tema en el snippet de busqueda; señal de proceso de creacion de contenido sin limpieza de plantilla,SEO;WordPress;Yoast;higiene-de-datos,Corto plazo,,"Revisar tambien el resto de los 25 posts del blog, no solo los 7 de los grupos canibalizados; posible causa raiz compartida con WP-04"
TASK-074,Corregir el enlace roto al dominio ente.cl en el testimonio de Mario Fatigante,"El carrusel de casos de exito de la home enlaza la tarjeta Mario Fatigante a http://ente.cl/caso-de-exito/mario-fatigante/ — un dominio ajeno/incompleto, en vez de defensordelcontribuyente.cl.",SEO tecnico,Correccion tecnica,Baja,Bajo,Media,Bajo,Por hacer,Desarrollador web,,Prestador,15 min,,,DOC-20 (escaneo en vivo),"Home, carrusel de casos de exito","Enlace apunta literalmente a http://ente.cl/... en el HTML de la home, confirmado 19-08-2026",DOC-20 (escaneo en vivo),El enlace de la tarjeta Mario Fatigante apunta a defensordelcontribuyente.cl y carga la pagina correcta,Captura del enlace corregido y funcionando,"Un visitante que hace clic en ese testimonio termina en un dominio ajeno o un error, perdiendo la conversion",SEO;WordPress;quick-win,Inmediata,,
TASK-075,Corregir errores ortograficos detectados en el sitio en vivo,Corregir mensale por mensaje (popup de confirmacion de envio del formulario de WhatsApp en la home) y profesinalismo por profesionalismo (testimonio en /casos-exito-tributario/).,Contenido,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Redactor o equipo de contenidos,,Prestador,10 min,,,DOC-20 (escaneo en vivo),Home (popup WhatsApp) y casos-exito-tributario,Dos errores ortograficos confirmados en el HTML en vivo del 19-08-2026,DOC-20 (escaneo en vivo),Ambos textos corregidos y visibles en el sitio,Captura de los textos corregidos,Detalle menor de imagen de marca para un estudio juridico que vende precision y confianza,contenido;copy;quick-win,Largo plazo,,
TASK-076,Eliminar o depurar el popup fantasma visible solo para usuarios logueados,"Revisar y eliminar (o completar si tiene un proposito real) el popup Agendar Diagnostico (id 2879, imagen prueb-popups.webp) que hoy solo es visible para roles administrator/editor/author/contributor logueados — parece un remanente de pruebas, no afecta a visitantes reales pero es codigo muerto en produccion.",Desarrollo web,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,30 min,,,DOC-20 (escaneo en vivo),Home,"Popup con nombre de archivo prueb-popups.webp restringido a roles logueados, sugiere ser un remanente de pruebas nunca limpiado",DOC-20 (escaneo en vivo),El popup se elimina o se documenta su proposito real si es intencional,Confirmacion de que el popup fue removido o su funcion documentada,Codigo muerto en produccion complica el mantenimiento y puede confundir a quien audite el sitio despues,WordPress;limpieza;Elementor,Largo plazo,,
TASK-077,Confirmar y documentar por que el WhatsApp difiere del telefono fijo publicado,"El numero de WhatsApp al que derivan todos los formularios y botones (56957062518) es distinto del telefono fijo publicado en el footer y usado como tel: en todo el sitio (227121756) — confirmar si es intencional (distintos canales/equipos) y documentarlo, o unificar si es un descuido.",Gobernanza y accesos,Validacion en plataforma,Baja,Bajo,Baja,Bajo,Por hacer,Responsable comercial,,Cliente,30 min,,,DOC-20 (escaneo en vivo),Home y 10 paginas de servicio,"Mismo patron confirmado en 11 paginas: WhatsApp 56957062518, telefono fijo 227121756, sin explicacion visible de la diferencia",DOC-20 (escaneo en vivo),Documento confirmando si ambos canales son intencionales y a que area/equipo llega cada uno,Nota de confirmacion,Un visitante que llama al fijo y otro que escribe por WhatsApp podrian estar llegando a equipos distintos sin que eso sea una decision consciente,gobernanza;contacto,Largo plazo,,
TASK-078,Corregir los dos campos de telefono duplicados en el formulario de convenios-condonaciones,"El formulario principal de /convenios-condonaciones/ (subdominio servicios.) tiene 7 campos visibles, con dos campos de telefono duplicados (telefono y field_4d5adf2) que muestran el mismo placeholder — probable error de configuracion en Elementor Form.",Desarrollo web,Correccion tecnica,Baja,Bajo,Baja,Bajo,Por hacer,Desarrollador web,,Prestador,20 min,,,DOC-20 (escaneo en vivo),servicios.defensordelcontribuyente.cl/convenios-condonaciones/,"7 campos visibles en el formulario principal, con 2 campos de telefono duplicados confirmados en el HTML",DOC-20 (escaneo en vivo),"El formulario queda con un unico campo de telefono, sin perder los demas campos",Captura del formulario corregido con 6 campos,"Confunde al usuario ver dos campos pidiendo lo mismo, y complica el analisis de los envios recibidos",WordPress;Elementor;formularios,Largo plazo,,
TASK-079,Agregar un H1 a diagnostico.defensordelcontribuyente.cl,"La pagina principal del subdominio diagnostico. no tiene ningun elemento H1 — el titulo principal esta marcado como H3 (El Diagnostico de tu Deuda Comienza Aqui), rompiendo la jerarquia de encabezados del resto del ecosistema.",SEO tecnico,Correccion tecnica,Media,Medio,Media,Bajo,Por hacer,Desarrollador web,,Prestador,30 min,,,DOC-09;DOC-20 (escaneo en vivo),"Nota especifica de DOC-09, confirmado en el escaneo en vivo","Cero H1 encontrados en la pagina, confirmado en dos auditorias independientes (17-08 y 19-08-2026)",DOC-09;DOC-20 (escaneo en vivo),La pagina tiene un unico H1 con el titulo principal,Inspeccion del HTML mostrando el H1 presente,Es el formulario de mayor intencion del ecosistema y hoy carece de la senal SEO on-page mas basica,SEO;tecnico;WordPress,Corto plazo,,
WP-01,Confirmar y documentar el mecanismo de respaldo real vigente,"Verificar con el hosting o la agencia entrante cual es el sistema de backup que realmente esta operando hoy, dado que las dos herramientas de respaldo instaladas en WordPress (All-in-One WP Migration y Duplicator Pro) estan inactivas.",Desarrollo web,Validacion en plataforma,Alta,Alto,Alta,Bajo,Por hacer,Responsable tecnico,Agencia de marketing,Cliente,1-2 horas,,WP-12;WP-13,DOC-19,Seccion 3 - Copias de seguridad,WPR-1,,"Existe un backup verificado y fechado en las ultimas 72 horas, con responsable y frecuencia documentados","Captura o confirmacion escrita del mecanismo de backup vigente (hosting, plugin o servicio externo)",Actualizar WordPress/Elementor sin backup confirmado puede dejar el sitio sin forma de recuperacion ante un fallo,WordPress;backup;seguridad,Inmediata,,Precondicion de WP-12 y WP-13
WP-02,Renovar la licencia de Code Snippets Pro o migrar snippets criticos,El plugin que ejecuta codigo personalizado en todo el sitio no puede actualizar a la version 3.8.0 (parche de seguridad) porque su licencia esta vencida.,Desarrollo web,Correccion tecnica,Alta,Alto,Media,Bajo,Por hacer,Responsable tecnico,,Cliente,30 min,,,DOC-19,"Seccion 2 - Seguridad, panel de Wordfence",WPR-2,,"Code Snippets Pro actualizado a 3.8.0 o superior, con licencia activa visible en el panel",Captura del panel de plugins mostrando la version actualizada y la licencia activa,Un plugin que ejecuta PHP arbitrario sin parches de seguridad es el componente de mayor riesgo relativo del sitio,WordPress;seguridad;codigo personalizado,Inmediata,,
WP-03,Identificar el drop-in no reconocido en el listado de plugins,El panel de WordPress reporta 1 drop-in activo sin nombre visible en la transcripcion disponible; hay que confirmar que archivo es y su funcion.,Desarrollo web,Validacion en plataforma,Media,Medio,Media,Bajo,Por hacer,Desarrollador web,,Prestador,15 min,,,DOC-19,Seccion 1 - Inventario de plugins,WPR-informativo (drop-in),,El drop-in queda identificado por nombre de archivo y funcion en la documentacion del sitio,Nombre del archivo drop-in confirmado desde wp-content o el panel de Salud del sitio,"Bajo, pero deja un componente sin trazabilidad en el sitio",WordPress;plugins,Corto plazo,,
WP-04,Corregir el titulo Yoast SEO incorrecto en el post id=9097,"El campo yoast_title del post ""Cumplimiento tributario y contabilidad"" contiene el titulo de otro post distinto (id=9075); hay que reescribirlo con el titulo propio del contenido.",SEO de contenidos,Correccion tecnica,Alta,Medio,Alta,Bajo,Por hacer,Especialista SEO,,Prestador,10 min,,,DOC-19,"Seccion 4 - Contenido del blog, Bug de SEO en produccion",WPR-7,,"El titulo Yoast del post id=9097 corresponde a su propio contenido, verificable en la vista previa de Google del editor",Captura del snippet de Yoast SEO mostrando el titulo correcto,Google sigue mostrando un titulo equivocado en resultados de busqueda para esa URL,WordPress;SEO;Yoast,Inmediata,,Quick win
WP-05,Consolidar los 3 posts publicados sobre Auditoria Tributaria del SII,"Los posts id 1913, 9505 y 9019 compiten por el mismo foco tematico; definir cual queda como pilar, actualizar su contenido y redirigir 301 los otros dos.",SEO de contenidos,Correccion tecnica,Alta,Alto,Media,Medio,Por hacer,Especialista SEO,Redactor o equipo de contenidos,Prestador,4-6 horas,,,DOC-19,Seccion 4 - Canibalizacion SEO confirmada,WPR-3,"DOC-01 (categoria Contenido, 60/100)","Un solo post activo sobre el tema, los otros dos con redireccion 301 hacia el pilar",Reporte de Search Console mostrando una sola URL indexada para las consultas del tema,Los 3 posts siguen canibalizandose el posicionamiento entre si,WordPress;SEO;contenido;canibalizacion,Corto plazo,,
WP-06,Consolidar los 4 posts publicados sobre Prescripcion Tributaria,"Los posts id 1302, 7745, 8302 y 9042 compiten por el mismo foco tematico, incluyendo la pagina de mayor trafico historico del sitio; definir el pilar, actualizar contenido y redirigir 301 los demas.",SEO de contenidos,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista SEO,Redactor o equipo de contenidos,Prestador,4-6 horas,,,DOC-19,Seccion 4 - Canibalizacion SEO confirmada,WPR-3,DOC-01 (pagina de mayor trafico historico mencionada en linea base 17-08-2026),"Un solo post activo sobre el tema, los otros tres con redireccion 301 hacia el pilar",Reporte de Search Console mostrando consolidacion de clics/impresiones en una sola URL,La pagina de mayor trafico real del sitio sigue compitiendo contra si misma,WordPress;SEO;contenido;canibalizacion,Inmediata,,Mayor impacto de trafico de las dos tareas de canibalizacion
WP-07,Purgar los posts duplicados en papelera y el borrador de prueba,Eliminar definitivamente los posts id 9452 y 9668 (papelera) y decidir si publicar o eliminar el borrador de prueba id 9383.,Contenido,Documentacion,Media,Bajo,Baja,Bajo,Por hacer,Redactor o equipo de contenidos,,Prestador,15 min,WP-05;WP-06,,DOC-19,Seccion 4 - Contenido duplicado sin purgar,WPR-8,,Los 3 posts quedan eliminados permanentemente o resueltos (publicados con proposito claro),"Confirmacion de que los IDs 9452, 9668 y 9383 ya no aparecen en el listado de entradas","Bajo, es limpieza operativa",WordPress;contenido;limpieza,Corto plazo,,Ejecutar despues de WP-05/WP-06 para no perder contenido que podria reutilizarse en la consolidacion
WP-08,Revisar y resolver los 13 problemas detectados por Wordfence,"El escaneo mas reciente de Wordfence reporta 13 problemas sin detalle en la transcripcion disponible; hay que entrar al panel, revisar cada uno y resolverlo o descartarlo con evidencia.",Gobernanza y accesos,Validacion en plataforma,Alta,Alto,Alta,Medio,Bloqueada,Responsable tecnico,Desarrollador web,Cliente,1-2 horas,,,DOC-19,"Seccion 2 - Seguridad, panel de Wordfence",WPR-5,,Los 13 problemas quedan documentados uno por uno con su resolucion o justificacion de por que no aplica,Captura del panel de Wordfence mostrando 0 problemas pendientes o cada uno documentado,No se puede descartar ni confirmar la naturaleza de los problemas sin este paso,WordPress;seguridad;Wordfence,Inmediata,,Bloqueada porque requiere acceso directo al panel; no resoluble solo con el documento
WP-09,Evaluar el solapamiento entre Wordfence e Imunify Security,Ambos plugins de seguridad estan activos simultaneamente y declaran funciones de firewall y escaneo de malware; confirmar si Imunify opera a nivel de hosting (lo que reduciria la redundancia real) o si hay duplicacion efectiva de funciones.,Gobernanza y accesos,Validacion en plataforma,Media,Medio,Baja,Bajo,Por hacer,Desarrollador web,Responsable tecnico,Ambos,30 min,,,DOC-19,"Seccion 2 - Seguridad, panel de Wordfence",WPR-6,,"Queda documentado si Imunify es capa de hosting o plugin independiente, y si corresponde desactivar uno de los dos",Nota tecnica confirmando el alcance real de cada herramienta,Posible consumo de recursos duplicado sin beneficio de seguridad adicional,WordPress;seguridad,Corto plazo,,
WP-10,Ubicar y consolidar los contenedores GTM inyectados en el sitio,"No existe plugin dedicado de Google Tag Manager en el listado de 21 plugins, por lo que los dos contenedores GTM duplicados (GTM-N7BQZZW y GTM-MQC692WV) probablemente estan inyectados via Code Snippets Pro o directo en el tema; ubicarlos y dejar uno solo.",GTM,Correccion tecnica,Alta,Alto,Alta,Medio,Por hacer,Especialista GA4/GTM,Desarrollador web,Prestador,1-2 horas,WP-01,WP-11,DOC-19,"Correlacion, seccion 4 - GTM duplicado",WPR-informativo (GTM),DOC-01 (Prioridad 1);DOC-02 (Prioridad 1),"Un solo contenedor GTM visible en el codigo fuente, sin eventos duplicados en el Asistente de Etiquetas",Captura del Asistente de Etiquetas de Google mostrando un solo contenedor activo,Conversiones duplicadas o infladas en cualquier reporte de campanas,WordPress;GTM;tracking,Inmediata,,Ejecutar con respaldo confirmado (WP-01) antes de tocar snippets de codigo
WP-11,Confirmar el mecanismo de inyeccion para instalar el Meta Pixel,"Igual que con GTM, no hay plugin dedicado de Meta Pixel instalado; antes de instalarlo confirmar si se inyecta via el contenedor GTM ya consolidado o via Code Snippets Pro.",Meta Ads,Correccion tecnica,Media,Medio,Media,Bajo,Bloqueada,Especialista GA4/GTM,Especialista Meta Ads,Prestador,30 min,WP-10,,DOC-19,"Correlacion, seccion 4 - Meta Pixel ausente",WPR-informativo (Meta Pixel),DOC-02 (Prioridad 1),Meta Pixel visible y disparando evento en el Administrador de Eventos de Meta,Captura del Administrador de Eventos de Meta mostrando el Pixel activo,Sin Pixel no se puede optimizar por conversion ni armar publicos de remarketing,WordPress;Meta Ads;tracking,Corto plazo,,Bloqueada hasta consolidar GTM en WP-10
WP-12,Actualizar Elementor y Elementor Pro en staging tras validar compatibilidad,"Antes de actualizar en produccion, probar en un entorno de staging la compatibilidad de Cool FormKit Lite, Dynamic Visibility for Elementor y Elementor Pro contra la version 4.2.2, que el propio panel marca como no verificada.",Desarrollo web,Correccion tecnica,Alta,Alto,Media,Alto,Bloqueada,Desarrollador web,Responsable tecnico,Prestador,1 dia,WP-01,WP-13,DOC-19,Seccion 1 - Compatibilidad no verificada,WPR-4,"DOC-01 (Prioridad 4, criterio de aceptacion)",Elementor y Elementor Pro actualizados en produccion sin errores visibles ni perdida de funcionalidad en formularios o visibilidad dinamica,Reporte de pruebas en staging mas confirmacion de version actualizada en produccion,Actualizar sin staging puede romper formularios o reglas de visibilidad del sitio en produccion,WordPress;Elementor;actualizacion,Mediano plazo,,Bloqueada hasta confirmar backup en WP-01
WP-13,Actualizar WordPress core a la version estable mas reciente,"Actualizar el nucleo de WordPress una vez confirmado el backup y validada la actualizacion de Elementor, siguiendo el mismo criterio de staging previo.",Desarrollo web,Correccion tecnica,Media,Alto,Media,Medio,Bloqueada,Desarrollador web,,Prestador,2-4 horas,WP-01;WP-12,,DOC-19,Seccion 2 - Seguridad; DOC-01 Prioridad 4,WPR-informativo (WP core),DOC-01 (Prioridad 4),Version de WordPress actualizada y confirmable en el panel de administracion,Captura del panel mostrando la version actualizada,El sitio sigue expuesto a vulnerabilidades ya corregidas en versiones posteriores del core,WordPress;actualizacion,Mediano plazo,,Bloqueada hasta WP-01 y WP-12
WP-14,Habilitar actualizaciones automaticas en los plugins de seguridad,"Activar actualizaciones automaticas al menos para Wordfence, Imunify Security y WPS Hide Login, que hoy las tienen deshabilitadas junto con los otros 18 plugins.",Gobernanza y accesos,Recomendacion estrategica,Media,Medio,Media,Bajo,Por hacer,Responsable tecnico,,Cliente,15 min,,,DOC-19,Seccion 1 - Inventario de plugins,WPR-informativo (auto-updates),,"Wordfence, Imunify Security y WPS Hide Login con actualizaciones automaticas activas, visible en el panel de plugins","Captura del panel de plugins mostrando ""Actualizaciones automaticas habilitadas"" en los 3 plugins de seguridad",Los plugins de seguridad quedan tan expuestos como cualquier otro a desactualizacion silenciosa,WordPress;seguridad;mantenimiento,Corto plazo,,
